district,title,link,orientation,deal_date,total_price,position,unit_price,features,list_amount,transaction_day,agent_name,agent_link
Huangpu,瞿溪路904弄 1室1厅 34.65平米,https://sh.lianjia.com/chengjiao/107105360302.html,南 北 | 精装,2022.06.24,364万,高楼层(共6层) 1984年板楼,105051元/平,"房屋满五年, 近地铁",挂牌368万,成交周期1天,董如,https://dianpu.lianjia.com/1000000022264341/
Huangpu,桥一小区 1室1厅 42.8平米,https://sh.lianjia.com/chengjiao/107104880122.html,南 | 精装,2022.06.22,447万,高楼层(共7层) 1989年板楼,104440元/平,"房屋满五年, 近地铁",挂牌455万,成交周期157天,丁小芳,https://dianpu.lianjia.com/1000000022098250/
Huangpu,华丽家族汇景天地(商业类) 2房间1卫 107.83平米,https://sh.lianjia.com/chengjiao/107104242401.html,西北 北 | 精装,2022.06.17,419万,低楼层(共30层) 2011年塔楼,38858元/平,"房屋满五年, 近地铁",挂牌464万,成交周期331天,张利安,https://dianpu.lianjia.com/1000000022154860/
Huangpu,江南新苑 2室2厅 94.62平米,https://sh.lianjia.com/chengjiao/107104544894.html,南 | 精装,2022.06.10,1200万,中楼层(共14层) 2002年板楼,126824元/平,"房屋满五年, 近地铁",挂牌1228万,成交周期243天,宋茹,https://dianpu.lianjia.com/1000000022106601/
Huangpu,斜土路338-368号 2室0厅 47.51平米,https://sh.lianjia.com/chengjiao/107103872300.html,南 | 精装,2022.04.18,470万,高楼层(共7层) 1982年板楼,98927元/平,"房屋满五年, 近地铁",挂牌499万,成交周期364天,关雪虎,https://dianpu.lianjia.com/1000000022209722/
Huangpu,丽园新村 2室1厅 49.43平米,https://sh.lianjia.com/chengjiao/107105008742.html,南 | 简装,2022.03.28,546万,高楼层(共6层) 1986年板楼,110460元/平,"房屋满五年, 近地铁",挂牌558万,成交周期28天,张豆,https://dianpu.lianjia.com/1000000022232203/
Huangpu,新家坡园景苑 3室2厅 139.31平米,https://sh.lianjia.com/chengjiao/107104709105.html,南 | 精装,2022.03.11,1640万,中楼层(共8层) 1999年板楼,117724元/平,近地铁,挂牌1700万,成交周期105天,丁玉,https://dianpu.lianjia.com/1000000022188527/
Huangpu,局门路160-162号 1室1厅 39.64平米,https://sh.lianjia.com/chengjiao/107104764595.html,南 | 精装,2022.03.05,446万,中楼层(共6层) 1985年板楼,112513元/平,"房屋满五年, 近地铁",挂牌455万,成交周期85天,张东升,https://dianpu.lianjia.com/1000000022263562/
Huangpu,汇龙新城 2室2厅 98.05平米,https://sh.lianjia.com/chengjiao/107104994698.html,南 | 精装,2022.03.03,1573万,高楼层(共32层) 2002年板楼,160429元/平,"房屋满五年, 近地铁",挂牌1580万,成交周期5天,黄玉群,https://dianpu.lianjia.com/1000000022165360/
Huangpu,蒙西小区 1室1厅 33.25平米,https://sh.lianjia.com/chengjiao/107104953394.html,南 | 毛坯,2022.02.28,355万,高楼层(共6层) 1987年板楼,106767元/平,"房屋满五年, 近地铁",挂牌365万,成交周期11天,丁小芳,https://dianpu.lianjia.com/1000000022098250/
Huangpu,汇龙新城 2室2厅 98.88平米,https://sh.lianjia.com/chengjiao/107103504942.html,南 | 简装,2022.02.27,1320万,低楼层(共33层) 2002年板楼,133496元/平,"房屋满五年, 近地铁",挂牌1360万,成交周期409天,丁玉,https://dianpu.lianjia.com/1000000022188527/
Huangpu,瞿溪路904弄 1室0厅 28.07平米,https://sh.lianjia.com/chengjiao/107104978968.html,南 | 精装,2022.02.27,340万,低楼层(共6层) 1983年板楼,121126元/平,近地铁,挂牌355万,成交周期5天,周海平,https://dianpu.lianjia.com/1000000022107159/
Huangpu,五里桥路269弄 1室1厅 35.94平米,https://sh.lianjia.com/chengjiao/107103564296.html,南 | 简装,2022.02.27,402万,中楼层(共6层) 1979年板楼,111854元/平,近地铁,挂牌415万,成交周期391天,陈士杰,https://dianpu.lianjia.com/1000000022166325/
Huangpu,东都公寓 2室1厅 98.81平米,https://sh.lianjia.com/chengjiao/107103729135.html,南 | 精装,2022.02.24,1240万,低楼层(共27层) 2004年板楼,125494元/平,房屋满五年,挂牌1260万,成交周期342天,成丹,https://dianpu.lianjia.com/1000000022097158/
Huangpu,蒙自路395弄 1室1厅 37.8平米,https://sh.lianjia.com/chengjiao/107104308509.html,南 | 精装,2022.02.22,410万,中楼层(共7层) 1987年板楼,108466元/平,"房屋满五年, 近地铁",挂牌420万,成交周期198天,廖小玉,https://dianpu.lianjia.com/1000000022110207/
Huangpu,局门路573弄 2室1厅 50.99平米,https://sh.lianjia.com/chengjiao/107104825785.html,南 北 | 简装,2022.02.20,605万,中楼层(共5层) 1986年板楼,118651元/平,"房屋满五年, 近地铁",挂牌622万,成交周期53天,胡杰,https://dianpu.lianjia.com/1000000022218670/
Huangpu,局门路405弄 1室1厅 30.55平米,https://sh.lianjia.com/chengjiao/107104566513.html,南 | 简装,2022.02.20,352万,中楼层(共7层) 1995年板楼,115221元/平,"房屋满五年, 近地铁",挂牌370万,成交周期125天,黄玉群,https://dianpu.lianjia.com/1000000022165360/
Huangpu,蒙自路345弄 1室1厅 33.59平米,https://sh.lianjia.com/chengjiao/107104154300.html,南 | 简装,2022.02.19,410万,中楼层(共5层) 1981年板楼,122061元/平,近地铁,挂牌425万,成交周期236天,林利惠,https://dianpu.lianjia.com/1000000026760891/
Huangpu,北蒙三小区 1室0厅 29.8平米,https://sh.lianjia.com/chengjiao/107104342053.html,北 | 精装,2022.02.13,340万,高楼层(共7层) 1989年板楼,114094元/平,"房屋满五年, 近地铁",挂牌352万,成交周期180天,张胜胜,https://dianpu.lianjia.com/1000000022102154/
Huangpu,局门路405弄 2室1厅 57.38平米,https://sh.lianjia.com/chengjiao/107104662235.html,南 北 | 简装,2022.01.30,570万,低楼层(共7层) 1995年板楼,99338元/平,房屋满五年,挂牌598万,成交周期78天,任朝云,https://dianpu.lianjia.com/1000000026607404/
Huangpu,银杏家园 3室2厅 152.05平米,https://sh.lianjia.com/chengjiao/107104109114.html,南 北 | 精装,2022.01.26,1566万,中楼层(共21层) 2000年板楼,102993元/平,"房屋满五年, 近地铁",挂牌1620万,成交周期224天,马小伟,https://dianpu.lianjia.com/1000000022093133/
Huangpu,华丽家族汇景天地(商业类) 2房间2卫 60.16平米,https://sh.lianjia.com/chengjiao/107104737379.html,北 | 精装,2022.01.20,310万,低楼层(共30层) 2011年塔楼,51530元/平,"房屋满五年, 近地铁",挂牌350万,成交周期47天,李军,https://dianpu.lianjia.com/1000000022236738/
Huangpu,百汇大厦 2室1厅 75.14平米,https://sh.lianjia.com/chengjiao/107104432816.html,西南 | 精装,2022.01.20,750万,中楼层(共23层) 1994年塔楼,99814元/平,"房屋满五年, 近地铁",挂牌780万,成交周期133天,尼贺鹏,https://dianpu.lianjia.com/1000000026669647/
Huangpu,蒙西小区 1室1厅 39.12平米,https://sh.lianjia.com/chengjiao/107104325243.html,南 | 精装,2022.01.19,438万,中楼层(共7层) 1994年板楼,111964元/平,近地铁,挂牌450万,成交周期159天,张胜胜,https://dianpu.lianjia.com/1000000022102154/
Huangpu,瞿溪坊 2室1厅 53.27平米,https://sh.lianjia.com/chengjiao/107104558627.html,南 北 | 精装,2022.01.16,575万,中楼层(共7层) 1995年板楼,107941元/平,"房屋满五年, 近地铁",挂牌606万,成交周期93天,张胜胜,https://dianpu.lianjia.com/1000000022102154/
