district,title,link,orientation,deal_date,total_price,position,unit_price,features,list_amount,transaction_day,agent_name,agent_link
Hongkou,东四小区 1室0厅 40.93平米,https://sh.lianjia.com/chengjiao/107109057783.html,南 | 精装,2024.04.15,249.5万,低楼层(共13层) 1986年塔楼,60958元/平,"房屋满五年, 近地铁",挂牌270万,成交周期55天,王亚锟,https://dianpu.lianjia.com/1000000022247677/
Hongkou,玉四小区 1室0厅 30.63平米,https://sh.lianjia.com/chengjiao/107108119470.html,南 | 简装,2024.04.15,165.5万,低楼层(共6层) 1983年板楼,54032元/平,近地铁,挂牌180万,成交周期205天,黄海锋,https://dianpu.lianjia.com/1000000022082969/
Hongkou,西南小区 2室1厅 43.22平米,https://sh.lianjia.com/chengjiao/107109086230.html,南 | 精装,2024.04.14,315万,低楼层(共6层) 1980年板楼,72883元/平,近地铁,挂牌330万,成交周期51天,于爱娣,https://dianpu.lianjia.com/1000000022094405/
Hongkou,曲阳林云小区 2室1厅 61.77平米,https://sh.lianjia.com/chengjiao/107109309993.html,南 | 精装,2024.04.14,340万,高楼层(共6层) 1987年板楼,55043元/平,房屋满五年,挂牌380万,成交周期25天,季俊杰,https://dianpu.lianjia.com/1000000029149884/
Hongkou,大三小区 2室1厅 53.47平米,https://sh.lianjia.com/chengjiao/107107805884.html,南 北 | 精装,2024.04.13,270万,高楼层(共6层) 1991年板楼,50496元/平,"房屋满五年, 近地铁",挂牌298万,成交周期241天,郝拖莲,https://dianpu.lianjia.com/1000000022239903/
Hongkou,四平路幸福村 1室1厅 36.33平米,https://sh.lianjia.com/chengjiao/107107085784.html,南 | 精装,2024.04.13,195万,中楼层(共6层) 1990年板楼,53675元/平,"房屋满五年, 近地铁",挂牌215万,成交周期340天,郑富,https://dianpu.lianjia.com/1000000022211765/
Hongkou,东四小区 3室1厅 65.69平米,https://sh.lianjia.com/chengjiao/107109431804.html,南 | 简装,2024.04.12,416万,中楼层(共6层) 1991年板楼,63328元/平,"房屋满五年, 近地铁",挂牌500万,成交周期6天,谢亚飞,https://dianpu.lianjia.com/1000000022217857/
Hongkou,大连新村 1室1厅 34.82平米,https://sh.lianjia.com/chengjiao/107109301610.html,南 | 毛坯,2024.04.10,170万,中楼层(共5层) 1957年板楼,48823元/平,近地铁,挂牌185万,成交周期22天,徐柳青,https://dianpu.lianjia.com/1000002101477939/
Hongkou,密二小区 3室1厅 67.89平米,https://sh.lianjia.com/chengjiao/107107372125.html,南 北 | 简装,2024.04.10,452万,中楼层(共6层) 1983年板楼,66579元/平,近地铁,挂牌460万,成交周期298天,姬赞赞,https://dianpu.lianjia.com/1000000022242277/
Hongkou,西南小区 2室1厅 42.53平米,https://sh.lianjia.com/chengjiao/107109377997.html,南 | 简装,2024.04.09,293万,低楼层(共6层) 1980年板楼,68893元/平,"房屋满五年, 近地铁",挂牌320万,成交周期11天,吴俊聪,https://dianpu.lianjia.com/1000000022268508/
Hongkou,曲一花苑 3室1厅 67.44平米,https://sh.lianjia.com/chengjiao/107107943066.html,西南 | 简装,2024.04.07,528万,中楼层(共12层) 1984年塔楼,78292元/平,近地铁,挂牌565万,成交周期218天,陈娟娟,https://dianpu.lianjia.com/1000000030047954/
Hongkou,双东小区 1室1厅 35.85平米,https://sh.lianjia.com/chengjiao/107106949354.html,东南 | 精装,2024.04.06,225万,低楼层(共6层) 1983年板楼,62762元/平,"房屋满五年, 近地铁",挂牌250万,成交周期354天,潘志云,https://dianpu.lianjia.com/1000000022195499/
Hongkou,密二小区 1室1厅 39.57平米,https://sh.lianjia.com/chengjiao/107109328256.html,南 | 精装,2024.04.05,219万,中楼层(共6层) 1983年板楼,55345元/平,"房屋满五年, 近地铁",挂牌240万,成交周期14天,张乐,https://dianpu.lianjia.com/1000000022145157/
Hongkou,原林小区 2室1厅 69.01平米,https://sh.lianjia.com/chengjiao/107109230937.html,南 | 精装,2024.04.02,428万,低楼层(共18层) 1992年塔楼,62020元/平,房屋满五年,挂牌450万,成交周期23天,殷镇静,https://dianpu.lianjia.com/1000000022200759/
Hongkou,玉田路201弄 2室1厅 48.2平米,https://sh.lianjia.com/chengjiao/107109204060.html,南 | 精装,2024.04.02,260万,高楼层(共6层) 1985年板楼,53942元/平,"房屋满五年, 近地铁",挂牌276万,成交周期25天,李艳艳,https://dianpu.lianjia.com/1000000022129672/
Hongkou,上农新村 1室1厅 34.61平米,https://sh.lianjia.com/chengjiao/107107672650.html,南 北 | 简装,2024.03.30,190万,高楼层(共6层) 1985年板楼,54898元/平,"房屋满五年, 近地铁",挂牌220万,成交周期245天,曾靖靖,https://dianpu.lianjia.com/1000000022144283/
Hongkou,玉田新村 1室1厅 28.75平米,https://sh.lianjia.com/chengjiao/107109344641.html,南 | 其他,2024.03.27,128万,低楼层(共5层) 1965年板楼,44522元/平,"房屋满五年, 近地铁",挂牌130万,成交周期3天,倪雪莉,https://dianpu.lianjia.com/1000000030770164/
Hongkou,赤峰小区 2室1厅 46.82平米,https://sh.lianjia.com/chengjiao/107109031140.html,南 | 精装,2024.03.26,265万,高楼层(共6层) 1984年板楼,56600元/平,"房屋满五年, 近地铁",挂牌298万,成交周期38天,刘东妮,https://dianpu.lianjia.com/1000000026518203/
Hongkou,曲阳林云小区 2室1厅 61.77平米,https://sh.lianjia.com/chengjiao/107109317032.html,南 | 毛坯,2024.03.25,335万,中楼层(共6层) 1988年板楼,54234元/平,房屋满五年,挂牌360万,成交周期5天,李款,https://dianpu.lianjia.com/1000000022185164/
Hongkou,大二小区 1室1厅 36.49平米,https://sh.lianjia.com/chengjiao/107109173811.html,南 | 简装,2024.03.25,156.5万,中楼层(共5层) 1957年板楼,42889元/平,"房屋满五年, 近地铁",挂牌172万,成交周期20天,周德友,https://dianpu.lianjia.com/1000000022182171/
Hongkou,东体小区 2室1厅 49.75平米,https://sh.lianjia.com/chengjiao/107107961783.html,南 | 简装,2024.03.25,313万,低楼层(共6层) 1984年板楼,62915元/平,"房屋满五年, 近地铁",挂牌328万,成交周期202天,石皇明,https://dianpu.lianjia.com/1000000030724857/
Hongkou,东四小区 1室1厅 50.68平米,https://sh.lianjia.com/chengjiao/107109073317.html,南 | 精装,2024.03.25,281万,中楼层(共13层) 1986年塔楼,55446元/平,"房屋满五年, 近地铁",挂牌318万,成交周期31天,杨喆,https://dianpu.lianjia.com/1000000022273004/
Hongkou,通德苑 3室2厅 121.46平米,https://sh.lianjia.com/chengjiao/107108266385.html,南 | 简装,2024.03.24,860万,中楼层(共17层) 2002年板楼,70806元/平,"房屋满五年, 近地铁",挂牌980万,成交周期161天,党文强,https://dianpu.lianjia.com/1000000022260980/
Hongkou,赤峰小区 1室0厅 33.13平米,https://sh.lianjia.com/chengjiao/107107914619.html,南 | 精装,2024.03.24,150万,高楼层(共6层) 1985年板楼,45277元/平,"房屋满五年, 近地铁",挂牌172万,成交周期207天,颛孙亚飞,https://dianpu.lianjia.com/1000000022153093/
Hongkou,赤一小区 2室0厅 46.68平米,https://sh.lianjia.com/chengjiao/107109154734.html,南 | 简装,2024.03.23,257.5万,高楼层(共6层) 1986年板楼,55163元/平,"房屋满五年, 近地铁",挂牌288万,成交周期21天,邢国靖,https://dianpu.lianjia.com/1000000030787808/
Hongkou,邮电二村 2室1厅 66.04平米,https://sh.lianjia.com/chengjiao/107106890210.html,南 | 精装,2024.03.23,434万,低楼层(共24层) 1990年塔楼,65718元/平,"房屋满五年, 近地铁",挂牌482万,成交周期348天,曾豪,https://dianpu.lianjia.com/1000000030796496/
Hongkou,西南小区 2室1厅 49.57平米,https://sh.lianjia.com/chengjiao/107107379500.html,南 北 | 简装,2024.03.23,303.5万,高楼层(共6层) 1979年板楼,61227元/平,"房屋满五年, 近地铁",挂牌320万,成交周期279天,晁祥彩,https://dianpu.lianjia.com/1000000029190698/
Hongkou,巴林路60弄 2室1厅 62.05平米,https://sh.lianjia.com/chengjiao/107108826794.html,南 北 | 简装,2024.03.22,347.5万,高楼层(共6层) 1988年板楼,56004元/平,房屋满五年,挂牌366万,成交周期83天,许大山,https://dianpu.lianjia.com/1000000022268537/
Hongkou,西南小区 2室0厅 44.27平米,https://sh.lianjia.com/chengjiao/107109280224.html,南 | 简装,2024.03.22,302万,中楼层(共6层) 1981年板楼,68207元/平,近地铁,挂牌335万,成交周期6天,于俊岭,https://dianpu.lianjia.com/1000000022202593/
Hongkou,曲阳林云小区 1室1厅 36.19平米,https://sh.lianjia.com/chengjiao/107108787871.html,南 | 精装,2024.03.22,219万,高楼层(共6层) 1987年板楼,60514元/平,房屋满五年,挂牌245万,成交周期88天,唐静,https://dianpu.lianjia.com/1000000030271348/
Hongkou,大连西路540弄 1室1厅 39.74平米,https://sh.lianjia.com/chengjiao/107108697464.html,南 | 简装,2024.03.22,220万,高楼层(共6层) 1978年板楼,55360元/平,"房屋满五年, 近地铁",挂牌238万,成交周期101天,付强盛,https://dianpu.lianjia.com/1000000022158166/
Hongkou,玉田新村 2室1厅 44.17平米,https://sh.lianjia.com/chengjiao/107109254339.html,东 西 | 精装,2024.03.18,216万,中楼层(共6层) 1987年板楼,48902元/平,"房屋满五年, 近地铁",挂牌255万,成交周期5天,尹迎迎,https://dianpu.lianjia.com/1000000022245327/
Hongkou,赤峰小区 2室1厅 64.69平米,https://sh.lianjia.com/chengjiao/107109059811.html,东南 | 简装,2024.03.16,346万,中楼层(共24层) 1988年塔楼,53486元/平,"房屋满五年, 近地铁",挂牌360万,成交周期25天,谷佳珍,https://dianpu.lianjia.com/1000000022182791/
Hongkou,密三小区 1室1厅 34.62平米,https://sh.lianjia.com/chengjiao/107105913206.html,南 | 简装,2024.03.16,192万,低楼层(共6层) 1981年板楼,55460元/平,"房屋满五年, 近地铁",挂牌210万,成交周期524天,李铮,https://dianpu.lianjia.com/1000000022166044/
Hongkou,玉田路201弄 1室0厅 27.43平米,https://sh.lianjia.com/chengjiao/107109033059.html,南 | 简装,2024.03.15,162万,低楼层(共6层) 1986年板楼,59060元/平,近地铁,挂牌172万,成交周期25天,张王英,https://dianpu.lianjia.com/1000000030302832/
Hongkou,邮电二村 1室1厅 39.92平米,https://sh.lianjia.com/chengjiao/107109147470.html,南 | 简装,2024.03.14,268万,中楼层(共6层) 1986年板楼,67135元/平,"房屋满五年, 近地铁",挂牌299万,成交周期12天,李琪琪,https://dianpu.lianjia.com/1000002101399166/
Hongkou,祥东小区(虹口) 2室2厅 59.4平米,https://sh.lianjia.com/chengjiao/107108050127.html,南 | 精装,2024.03.14,360万,高楼层(共6层) 1980年板楼,60607元/平,"房屋满五年, 近地铁",挂牌399万,成交周期180天,汪鹏辉,https://dianpu.lianjia.com/1000000022174861/
Hongkou,大连西路100号 2室1厅 56.68平米,https://sh.lianjia.com/chengjiao/107106734121.html,南 | 简装,2024.03.12,385万,高楼层(共12层) 1988年塔楼,67926元/平,"房屋满五年, 近地铁",挂牌405万,成交周期360天,滕坚锐,https://dianpu.lianjia.com/1000000022129854/
Hongkou,西二小区 2室1厅 53.71平米,https://sh.lianjia.com/chengjiao/107109128845.html,南 | 精装,2024.03.11,291万,低楼层(共6层) 1983年板楼,54180元/平,"房屋满五年, 近地铁",挂牌315万,成交周期12天,洪睿,https://dianpu.lianjia.com/1000000022175484/
Hongkou,四平路幸福村 1室1厅 32.64平米,https://sh.lianjia.com/chengjiao/107108105560.html,南 | 简装,2024.03.11,160万,低楼层(共6层) 1989年板楼,49020元/平,"房屋满五年, 近地铁",挂牌198万,成交周期171天,杨宏伟,https://dianpu.lianjia.com/1000002101526898/
Hongkou,大西小区 3室1厅 85.89平米,https://sh.lianjia.com/chengjiao/107108687058.html,南 | 简装,2024.03.11,505万,高楼层(共6层) 1986年板楼,58797元/平,"房屋满五年, 近地铁",挂牌580万,成交周期91天,刘俊,https://dianpu.lianjia.com/1000000022131105/
